"name (S)","cuisine (S)","loc_src (S)"
"Akashi (Sushi)","Chinese","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55455.203210209875!2d-95.4199717885323!3d29.692223449306603!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xd4d973e60d4fc591!2sAkashi+Asian+Sushi+Cuisine+%26+Wine+Bar%E2%84%A2-Sushi+Houston!5e0!3m2!1sen!2sus!4v1532694904450"
"Annie's Hamburgers","Burgers","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3466.950465325516!2d-95.46587778425261!3d29.663211743434363!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640ea11b9b7fb85%3A0x276d8631bbfdb9aa!2sAnnies+Hamburgers!5e0!3m2!1sen!2sus!4v1532694963554"
"Arby's","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110859.96586084535!2d-95.55119258930584!3d29.73788934579317!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x1de5d5e0b35b6bfd!2sArby's!5e0!3m2!1sen!2sus!4v1532696647958"
"Baytown Seafood","Seafood","https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d110897.54442297413!2d-95.4731933!3d29.703874!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xf6d943e3eb5cc583!2sCapt.+Benny&#39;s+Seafood!5e0!3m2!1sen!2sus!4v1532632478009"
"Black Walnut Cafe","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110926.84089461311!2d-95.50866618146192!3d29.677330857861236!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x46067ed6c8975c63!2sBlack+Walnut+Cafe!5e0!3m2!1sen!2sus!4v1532695053397"
"Brown Bag Deli","Sandwiches","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110926.2639524645!2d-95.50866629947517!3d29.677853786322448!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xc1b5ff8ff405e073!2sBrown+Bag+Deli!5e0!3m2!1sen!2sus!4v1532695101654"
"Buca di Peppo","Italian","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d443703.14633345656!2d-95.71880622971094!3d29.678286457495616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xa931caeb3041af84!2sBuca+di+Beppo+Italian+Restaurant!5e0!3m2!1sen!2sus!4v1532695136524"
"Buon Appetito","Italian","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3465.476808809753!2d-95.41298258425199!3d29.70594474143712!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c06b951c97d1%3A0xe103810178c21065!2sBuon+Appetito+Restaurant!5e0!3m2!1sen!2sus!4v1532695177373"
"Cacho's","Mexican","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3466.4251595004766!2d-95.42413388425238!3d29.678450942722453!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c02762e4cf6f%3A0x89a1449bd23f82f5!2sChacho's+Mexican+Restaurant!5e0!3m2!1sen!2sus!4v1532698010757"
"Candelari's Pizza","Pizza","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3465.480573601091!2d-95.42137068425203!3d29.70583564144213!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c04146584e15%3A0xcbd0f7299b0fcb92!2sCandelar's+Pizzeria!5e0!3m2!1sen!2sus!4v1532698053334"
"Captain Benny's","Seafood","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110895.2289276019!2d-95.48922158289176!3d29.705970962249648!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xf6d943e3eb5cc583!2sCapt.+Benny's+Seafood!5e0!3m2!1sen!2sus!4v1532698094758"
"Celeburne Cafeteria","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3464.79712203727!2d-95.43480858425175!3d29.725635440515838!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c0ff1525be23%3A0xfa3c2cd1a8c37513!2sCleburne+Cafeteria!5e0!3m2!1sen!2sus!4v1532695319085"
"Chick-Fil-A","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13865.17083073357!2d-95.4449134961757!3d29.682292266778227!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xfa9fdac971c982f0!2sChick-fil-A!5e0!3m2!1sen!2sus!4v1532695478839"
"China Stix","Chinese","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13861.835075152952!2d-95.42377517406604!3d29.706467518674053!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c048a6b8d8fb%3A0xe6033ae68cf2041c!2sChina+Stix!5e0!3m2!1sen!2sus!4v1532695523112"
"Chipotle","Burritos","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d13864.60785379185!2d-95.42742297924799!3d29.686373589735013!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xc0f66b09b9c78342!2sChipotle+Mexican+Grill!5e0!3m2!1sen!2sus!4v1532695567353"
"Church's Chicken","Fast-Food","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3465.6446076101934!2d-95.37882478425205!3d29.701081741664524!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640bfeb0df6fa0b%3A0x368e937b82fdde45!2sChurch's+Chicken!5e0!3m2!1sen!2sus!4v1532696716703"
"Crawfish & Noodles","Seafood","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3465.5382585717566!2d-95.58205518425203!3d29.704163941520452!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640dd3d1b33f31b%3A0x289365a482758ac4!2sCrawfish+%26+Noodles!5e0!3m2!1sen!2sus!4v1532695908364"
"D'Amico's","Italian","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3465.130373540915!2d-95.41754268425191!3d29.715982540967516!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c058ccd176a7%3A0xab36046371ef5279!2sD'Amico's+Italian+Market+Cafe!5e0!3m2!1sen!2sus!4v1532697926646"
"Del Frisco's","Steak","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3464.2509451571214!2d-95.42131568425152!3d29.74144973977576!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c0ec122beef7%3A0x6f3c25137cd15977!2sDel+Frisco's+Grille!5e0!3m2!1sen!2sus!4v1532698134495"
"Denny's","Generic","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3466.4225460088123!2d-95.43127748425236!3d29.678526742718898!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c029db4c10f7%3A0xde9abe7a3f9dcbb8!2sDenny's!5e0!3m2!1sen!2sus!4v1532697875004"
"Dimassi's Mediterranean Buffet","Mediterranean","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55442.044787704384!2d-95.4503733555487!3d29.716057118842585!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xf9529c3617af0545!2sDimassi's+Mediterranean+Buffet!5e0!3m2!1sen!2sus!4v1532697972172"
"El Meson","Mexican","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d8732.128451802915!2d-95.4162115790095!3d29.709693250031386!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8640c05d6430486f%3A0x92849b1576a746b2!2sEl+Meson+Restaurant!5e0!3m2!1sen!2sus!4v1532698627019"
"Escelante's","Mexican","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d55436.94923642307!2d-95.4756640781109!3d29.725281956133003!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x5291e316ace102e2!2sEscalante's!5e0!3m2!1sen!2sus!4v1532698697980"
"Five Guys","Burgers","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27724.418225136!2d-95.44554718820369!3d29.70375764401902!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xb2e042465bd34fc7!2sFive+Guys!5e0!3m2!1sen!2sus!4v1532698731276"
"Freebirds","Burritos","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d110897.48871478571!2d-95.49807720525233!3d29.703924452109085!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x945528a962a201db!2sFreebirds+World+Burrito!5e0!3m2!1sen!2sus!4v1532698769060"
